,Constract,O_Time,O_price,C_Time,C_price,Proportion,Cost,Volume,Stop loss,Lock in gain,Fee,Profit,Cash
1602,ETCUSDT,1532919600000.0,16.8424,1533157200000.0,15.0735,0.5_0.2116,-11.634542678527977,0,17.684520000000003,15.158160000000002,0.015433004231673736,1.2065034504332288,43.34564399908485
1603,ETCUSDT,1532923200000.0,16.7913,1533157200000.0,15.0735,0.75_0.3021,-13.09693098161979,0,17.630865,15.11217,0.017397804841803956,1.3224572415349793,30.24768934565289
1604,LTCUSDT,1532923200000.0,83.93,1533258000000.0,75.38,1.0_0.3772,-11.414243470533258,0,88.12650000000001,75.537,0.015165997725526716,1.1476099068742531,18.834623756377393
1605,ETCUSDT,1532926800000.0,16.7622,1533157200000.0,15.0735,0.5_0.2116,-3.986758466040953,0,17.60031,15.085980000000001,0.005300310970405912,0.39634380624591176,14.853064529839585
1606,VETUSDT,1532926800000.0,0.02611,1532973600000.0,0.02344,1.0_0.3772,-5.6042948480548285,0,0.027415500000000002,0.023499000000000003,0.007444847445606347,0.5656484977978409,9.247637406317349
1607,BNBUSDT,1533002400000.0,13.2187,1533704400000.0,12.502,-1.0_0.3772,979.1352848676619,0,12.557765,14.54057,1.333628227060677,-54.42101644713171,1615.669469876328
1608,LTCUSDT,1533319200000.0,77.29,1533405600000.0,72.93,-1.0_0.3772,1000.0,0,73.4255,85.01900000000002,1.3605123560615864,-57.77143226808119,7997.648120564295
1609,BNBUSDT,1533351600000.0,13.9604,1533704400000.0,12.502,0.25_0.1091,-872.4506376744167,0,14.658420000000001,12.56436,1.1576313306264034,89.98460026620236,7125.286767443506
1610,XLMUSDT,1533351600000.0,0.25869,1533394800000.0,0.23989,-0.75_0.3021,1000.0,0,0.24575549999999996,0.284559,1.349128300282191,-74.02298504000913,6125.197482889878
1611,BNBUSDT,1533355200000.0,13.9642,1533704400000.0,12.502,1.0_0.3772,-1000.0,0,14.662410000000001,12.56778,1.3267025679953024,103.38391458157277,5125.197482889878
