,Time,Realize,Unrealize,Gain/Loss,Cash,Total
2020/06/18 17:00:00,1592470800000,16.085610118194634,7015.42219757338,1.5358364125494022,8.888856002148032,7040.396663693722
2020/06/18 18:00:00,1592474400000,0,7021.546027897892,0,24.974466120342665,7046.520494018235
2020/06/18 19:00:00,1592478000000,0,7021.131465289216,0,24.974466120342665,7046.105931409559
2020/06/18 20:00:00,1592481600000,0,6995.387734316409,0,24.974466120342665,7020.362200436752
2020/06/18 21:00:00,1592485200000,0,6978.245373008745,0,24.974466120342665,7003.2198391290885
2020/06/18 22:00:00,1592488800000,401.9494517359114,6544.574124379531,-23.58711680376537,24.974466120342665,6971.498042235786
2020/06/18 23:00:00,1592492400000,0,6554.3311025936,0,426.92391785625404,6981.255020449854
2020/06/19 00:00:00,1592496000000,0,6545.037267385644,0,426.92391785625404,6971.9611852418975
2020/06/19 01:00:00,1592499600000,0,6526.034936959473,0,426.92391785625404,6952.958854815727
2020/06/19 02:00:00,1592503200000,0,6627.6567619724165,0,336.59448858777876,6964.251250560195
2020/06/19 03:00:00,1592506800000,0,6629.1594823959185,0,336.59448858777876,6965.753970983697
2020/06/19 04:00:00,1592510400000,1.8687405195407873,6668.395817216209,-0.10215540382135448,299.8791478974834,6970.143705633233
2020/06/19 05:00:00,1592514000000,363.81007705651615,6463.733953494521,-20.93631976686799,117.02506714016195,6944.569097691199
2020/06/19 06:00:00,1592517600000,40.86906477771851,6518.226969440677,-2.2456268496647755,379.09906821010134,6938.195102428496
2020/06/19 07:00:00,1592521200000,0,6680.64833149382,0,261.53731882481793,6942.185650318637
2020/06/19 08:00:00,1592524800000,0,6702.510135506867,0,261.53731882481793,6964.047454331685
2020/06/19 09:00:00,1592528400000,0,6785.581384308977,0,261.53731882481793,7047.118703133795
2020/06/19 10:00:00,1592532000000,0,6742.224767361983,0,261.53731882481793,7003.762086186801
2020/06/19 11:00:00,1592535600000,0,6715.939440662255,0,261.53731882481793,6977.476759487073
2020/06/19 12:00:00,1592539200000,0,6700.823762730016,0,261.53731882481793,6962.361081554834
2020/06/19 13:00:00,1592542800000,0,6728.724963416861,0,261.53731882481793,6990.262282241679
2020/06/19 14:00:00,1592546400000,0,6728.126213804675,0,261.53731882481793,6989.663532629493
2020/06/19 15:00:00,1592550000000,0,6708.334399282815,0,261.53731882481793,6969.871718107633
2020/06/19 16:00:00,1592553600000,0,6701.146732502392,0,261.53731882481793,6962.68405132721
2020/06/19 17:00:00,1592557200000,0,6706.942217476857,0,261.53731882481793,6968.479536301675
2020/06/19 18:00:00,1592560800000,0,6786.333541695616,0,182.52839347723105,6968.861935172848
2020/06/19 19:00:00,1592564400000,0,6870.80871183524,0,113.67049756801646,6984.479209403256
2020/06/19 20:00:00,1592568000000,0,6870.779326119234,0,113.67049756801646,6984.4498236872505
2020/06/19 21:00:00,1592571600000,0,6922.259435566115,0,70.78888808043021,6993.048323646545
2020/06/19 22:00:00,1592575200000,0,6953.868998332017,0,34.47931419750679,6988.348312529524
2020/06/19 23:00:00,1592578800000,0,6963.548864238955,0,24.06331095289334,6987.612175191848
2020/06/20 00:00:00,1592582400000,0,6982.5231596199055,0,24.06331095289334,7006.586470572799
2020/06/20 01:00:00,1592586000000,0,6970.497599376255,0,24.06331095289334,6994.560910329148
2020/06/20 02:00:00,1592589600000,0,6994.65485277058,0,9.33232903351798,7003.987181804098
2020/06/20 03:00:00,1592593200000,0,6981.525523439125,0,9.33232903351798,6990.857852472644
2020/06/20 04:00:00,1592596800000,0,6990.4929848157235,0,9.33232903351798,6999.825313849242
2020/06/20 05:00:00,1592600400000,0,6973.877744950278,0,9.33232903351798,6983.210073983796
2020/06/20 06:00:00,1592604000000,0,6970.701817992585,0,9.33232903351798,6980.034147026104
2020/06/20 07:00:00,1592607600000,0,6966.288945250335,0,9.33232903351798,6975.621274283853
2020/06/20 08:00:00,1592611200000,0,6970.500938665568,0,9.33232903351798,6979.833267699087
2020/06/20 09:00:00,1592614800000,0,6976.174124946354,0,9.33232903351798,6985.506453979872
2020/06/20 10:00:00,1592618400000,0,6971.019362825187,0,9.33232903351798,6980.351691858706
2020/06/20 11:00:00,1592622000000,0,6972.171817295395,0,9.33232903351798,6981.5041463289135
2020/06/20 12:00:00,1592625600000,0,6975.571417197174,0,9.33232903351798,6984.903746230692
2020/06/20 13:00:00,1592629200000,0,6968.021814922284,0,9.33232903351798,6977.354143955802
2020/06/20 14:00:00,1592632800000,0,6971.615489425546,0,9.33232903351798,6980.947818459064
2020/06/20 15:00:00,1592636400000,0,6982.816328037154,0,9.33232903351798,6992.148657070672
2020/06/20 16:00:00,1592640000000,0,6979.337005643735,0,9.33232903351798,6988.669334677254
2020/06/20 17:00:00,1592643600000,0,6966.964330855077,0,9.33232903351798,6976.296659888595
2020/06/20 18:00:00,1592647200000,0,6955.161436730022,0,9.33232903351798,6964.49376576354
2020/06/20 19:00:00,1592650800000,0,6948.298535587386,0,9.33232903351798,6957.6308646209045
2020/06/20 20:00:00,1592654400000,0,6944.688615476058,0,9.33232903351798,6954.020944509576
